I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
62,63,ÁLVAREZ,Ferran,Nan,E,Nan,Catalan,9,8,1987,Kinshofer (variant 1),E,Santiago Arribas,Nan,
63,64,EXPÓSITO,Pedro,Nan,E,Nan,Aragonese,9,8,1987,Kinshofer (variant 1),E,Santiago Arribas,Nan,
64,65,HERNÁNDEZ,Domingo,Nan,E,Nan,Aragonese,9,8,1987,Kinshofer (variant 1),E,Santiago Arribas,Nan,
65,66,MARTÍNEZ,Joan,Nan,E,Nan,Catalan,9,8,1987,Kinshofer (variant 1),E,Santiago Arribas,Nan,
66,67,MATSUI,Kimiharu,Nan,Jp,Nan,Nan,19,8,1987,Diamir Face (Kinshofer),Jp,Tadakiyo Sakahara,Nan,
67,68,OKABAYASHI,Ryoichi,Nan,Jp,Nan,Nan,19,8,1987,Diamir Face (Kinshofer),Jp,Tadakiyo Sakahara,Nan,
68,69,ENDO,Haruyuki,Nan,Jp,Nan,Nan,13,7,1988,Kinshofer (variant 1),Jp,Haruyuki Endo,Nan,
69,70,ENDO,Yuka,f,Jp,Nan,4,13,7,1988,Kinshofer (variant 1),Jp,Haruyuki Endo,Nan,
70,71,HUPFAUER,Siegfried,Nan,Ger,Nan,Nan,29,7,1988,Kinshofer (variant 1),Ger,Ekke Gundelach,Nan,
71,72,MÜGGE,Thomas,Nan,Ger,Nan,Nan,29,7,1988,Kinshofer (variant 1),Ger,Ekke Gundelach,Nan,
72,73,GASSLER,Oswald,Nan,A,Nan,Nan,9,8,1988,Kinshofer (variant 1),A,Heinrich Koch,Nan,
73,74,GUNDELACH,Ekkert,Nan,Ger,Nan,Nan,13,7,1989,Kinshofer (variant 1),Ger/Pak,Ekke Gundelach/M Sher Khan,Nan,
74,75,SHER KHAN,Mohammad,Nan,Pak,14,Nan,13,7,1989,Kinshofer (variant 1),Ger/Pak,Ekke Gundelach/M Sher Khan,Nan,
75,76,ATTA-UL-HAQ,Mirza Mohammad,Nan,Pak,Nan,Nan,13,7,1989,Kinshofer (variant 1),Ger/Pak,Ekke Gundelach/M Sher Khan,Nan,
76,77,ULLAH,Mohammad,1,Pak,Nan,Nan,13,7,1989,Kinshofer (variant 1),Ger/Pak,Ekke Gundelach/M Sher Khan,Nan,
77,78,SHAH,Rajab,Nan,Pak,Nan,Nan,13,7,1989,Kinshofer (variant 1),Ger/Pak,Ekke Gundelach/M Sher Khan,Nan,
78,79,KAMMERLANDER,Hans,Nan,It,Nan,Nan,1,7,1990,Kinshofer (variant 1),CH,Diego Wellig,Nan,
79,80,PORTILLA,Ramón,Nan,E,Nan,Madrilian,25,7,1990,Kinshofer (variant 1),E,José María González,Nan,
80,81,SATO,Masanori,Nan,Jp,Nan,Nan,25,7,1990,Kinshofer (variant 1),Jp,Taeko Nagao (f),Nan,
81,82,FRANTAR,Marija,f,Slo,15,5,31,7,1990,Rupal Face (Schell),Slo,Tone Golnar,Nan,
82,83,ROZMAN,Joze,Nan,Slo,Nan,Nan,31,7,1990,Rupal Face (Schell),Slo,Tone Golnar,Nan,
83,84,NICOLAS,Pedro,Nan,E,Nan,Madrilian,11,8,1990,Kinshofer (variant 1),E,Carlos Soria,Nan,
84,85,SORIA,Carlos,Nan,E,Nan,Madrilian,11,8,1990,Kinshofer (variant 1),E,Carlos Soria,Nan,
85,86,FREDBORG,Andreas,Nan,Nor,16,Nan,11,8,1990,Kinshofer (variant 1),Nor,Andreas Fredborg,Nan,
86,87,JOSWIG,Reinmar,Nan,Ger,Nan,Nan,12,8,1990,Rupal Face (Schell),Ger,Reinmar Joswig,Nan,
87,88,MEZGER,Peter,Nan,Ger,Nan,Nan,12,8,1990,Rupal Face (Schell),Ger,Reinmar Joswig,Nan,
88,89,TODAKA,Masafumi,Nan,Jp,Nan,Nan,18,8,1990,Rupal Face (Schell),Jp,Tadakiyo Sakahara,Nan,
89,90,MEAR,Roger,Nan,UK,17,Nan,21,7,1991,Kinshofer (variant 1),UK,Roger Mear,Nan,
90,91,WALSH,David,Nan,UK,Nan,Nan,21,7,1991,Kinshofer (variant 1),UK,Roger Mear,Nan,
91,92,KIM,Hyung-Ju,Nan,SK,18,Nan,29,6,1992,Kinshofer (variant 1),SK,Park Chan-Gi,Nan,
92,93,PARK,Hee-Taek,Nan,SK,Nan,Nan,29,6,1992,Kinshofer (variant 1),SK,Cho Hyung-Gyu,Nan,
93,94,SONG,Jea-Deuk,Nan,SK,Nan,Nan,29,6,1992,Kinshofer (variant 1),SK,Cho Hyung-Gyu,Nan,
94,95,NEZERKA,Josef,Nan,Cz,19,Nan,4,7,1992,Kinshofer (variant 1),Cz,Josef Rakoncaj,Nan,
95,96,RAKONCAJ,Josef,Nan,Cz,Nan,Nan,4,7,1992,Kinshofer (variant 1),Cz,Josef Rakoncaj,Nan,
96,97,HÄUTER,Christoph,Nan,CH,Nan,Nan,8,7,1992,Kinshofer (variant 1),CH,Martin Fischer,Nan,
97,98,ABREGO,Mari,Nan,E,Nan,Basque,12,7,1992,Kinshofer (variant 1),E,Miguel Ruiz de Apodaka,Nan,
98,99,APELLANIZ,Juan Ignacio,Nan,E,Nan,Basque,12,7,1992,Kinshofer (variant 1),E,Miguel Ruiz de Apodaka,Nan,
99,100,OIARZABAL,Juan Eusebio,Nan,E,Nan,Basque,12,7,1992,Kinshofer (variant 1),E,Miguel Ruiz de Apodaka,Nan,
100,101,RUIZ de APODAKA,Mikel,Nan,E,Nan,Basque,12,7,1992,Kinshofer (variant 1),E,Miguel Ruiz de Apodaka,Nan,
101,102,GOZDZIK,Jozef,Nan,Pl,Nan,Nan,12,7,1992,Kinshofer (variant 1),Pl,Piotr Pustelnik,Nan,
102,103,PUSTELNIK,Piotr,Nan,Pl,Nan,Nan,12,7,1992,Kinshofer (variant 1),Pl,Piotr Pustelnik,Nan,
103,104,BARRENETXEA,Pablo,Nan,E,Nan,Basque,7,7,1993,Kinshofer (variant 1),Nan,E,Pablo Barrenetxea,
104,105,CLAVEL,José Luis,Nan,E,Nan,Murcia,7,7,1993,Kinshofer (variant 1),Nan,E,Pablo Barrenetxea,
105,106,ESTIÚ,Ramón,Nan,E,Nan,Catalan,30,7,1993,Kinshofer (variant 1),Nan,E,Joaquim Bover,
106,107,PERMANYÉ,Josep,Nan,E,Nan,Catalan,30,7,1993,Kinshofer (variant 1),Nan,E,Joaquim Bover,
107,108,MOCHIZUKI,Yasuhiko,Nan,Jp,Nan,Nan,16,8,1993,Kinshofer (variant 1),Nan,Jp,Tadakiyo Skahara,
108,109,TONCHEV,Toncho,Nan,Bul,20,Nan,18,8,1993,Kinshofer (variant 1),Nan,Bul,Minko Zankovski,
109,110,PAWŁOWSKI,Ryszard,Nan,Pl,Nan,Nan,24,8,1993,Kinshofer (variant 1),Nan,Pl,Ryszard Pawłowski,
