VALLEJO,Juan,E,Basque (A),,04.,10.,2005,"SW Face, Central Couloir",
CONFORTOLA,Marco,ITA,,,09.,05.,2006,NE Face - Chinese traverse,
ENZIO,Michele,ITA,,,09.,05.,2006,NE Face - Chinese traverse,
FERNÁNDEZ-VIVANCOS,Fernando,E,Andalusian,,09.,05.,2006,NE Face - Chinese traverse,
GOBBI,Christian,ITA,,,09.,05.,2006,NE Face - Chinese traverse,
GOGER,Johann (Hans),A,Burgenland,,09.,05.,2006,NE Face - Chinese traverse,
MARUNA,Anita,A,,f,09.,05.,2006,NE Face - Chinese traverse,
MONDINELLI,Silvio (Gnaro),ITA,,,09.,05.,2006,NE Face - Chinese traverse,
RODRÍGUEZ,Julian,E,Galician,,09.,05.,2006,NE Face - Chinese traverse,
TRÅ,Jarle,NOR,,,10.,05.,2006,NE Face - Chinese traverse,
AMANO,Kazuaki,JAP,,,18.,05.,2006,N Ridge - C Peak - W Ridge,
KATO,Yoshinobu,JAP,,,18.,05.,2006,N Ridge - C Peak - W Ridge,
JANG,Jung-Kyu,SK,,,03.,10.,2006,"SW Face, Central Couloir",
KIM,Hong-Bin,SK,,,03.,10.,2006,"SW Face, Central Couloir",
OCHOA DE OLZA,Ignacio (Iñaki),E,Basque (N),,03.,10.,2006,NE Face - Lower to Central traverse - E Ridge,
OH,Eun-Sun,SK,,f,03.,10.,2006,"SW Face, Central Couloir",
THILEN,,NEP,Sherpa,,03.,10.,2006,"SW Face, Central Couloir",
FUJIKAWA,Katsuhito,JAP,,,09.,10.,2006,NE Face - Chinese traverse,
GÁLVEZ,Jorge (Koki),PER,,,09.,10.,2006,NE Face - Chinese traverse,
HIDALGO,Richard Leopoldo,PER,,,09.,10.,2006,NE Face - Chinese traverse,
KENMOCHI,Noriyuki,JAP,,,09.,10.,2006,NE Face - Chinese traverse,2
LA TERRA,Simone,ITA,,,09.,10.,2006,NE Face - Chinese traverse,
SENDA,Atsushi,JAP,,,09.,10.,2006,NE Face - Chinese traverse,
TANABE,Osamu,JAP,,,09.,10.,2006,NE Face - Chinese traverse,

YAMAGUCHI,Takahiro,JAP,,,09.,10.,2006,NE Face - Chinese traverse
YAMAMOTO,Toshio (2),JAP,,,09.,10.,2006,NE Face - Chinese traverse
CARVALHO,Bruno,POR,,,31.,10.,2006,NE Face - Chinese traverse
GARCIA,João,POR,,,31.,10.,2006,NE Face - Chinese traverse
NURU (a),,NEP,Sherpa,,31.,10.,2006,NE Face - Chinese traverse
ROSADO,Rui,POR,,,31.,10.,2006,NE Face - Chinese traverse
KOPOLD,Jozef (Dodo),SLK,,,24.,04.,2007,"SW Face, Central Couloir"
HOFER,Hansjörg,ITA,South Tyrolean,,15.,05.,2007,N Ridge - C Peak - W Ridge
MERKEL,Thomas (Tom),GER,Rheinland-Pf.,,15.,05.,2007,N Ridge - C Peak - W Ridge
PIRCHER,Rainer,GER,,,15.,05.,2007,N Ridge - C Peak - W Ridge
CEVALLOS,Alfredo,ARG,,,04.,10.,2007,"SW Face, Central Couloir"
SACCHI,Federico,ARG,,,04.,10.,2007,"SW Face, Central Couloir"
GO,Mi-Sun (Mi-Young),SK,,f,05.,10.,2007,"SW Face, Central Couloir"
JUMIK BHOTE,,NEP,Bhutia,,05.,10.,2007,"SW Face, Central Couloir"
KIM,Jae-Soo,SK,,,05.,10.,2007,"SW Face, Central Couloir"
TARKE,,NEP,Sherpa,,05.,10.,2007,"SW Face, Central Couloir"
TSHERING JANGBU,,NEP,Sherpa,,05.,10.,2007,"SW Face, Central Couloir"
LASA,José Ramón (Koke),E,Basque (G),,08.,10.,2007,"SW Face, Central Couloir"
MORÁVEK,Josef (Pepino),CZE,,,08.,10.,2007,"SW Face, Central Couloir"
TXIKON,Jon Alexander (Alex),E,Basque (B),,08.,10.,2007,"SW Face, Central Couloir"
ZAMBALDI,Andrea,ITA,,,02.,10.,2008,N Ridge - C Peak - W Ridge
MONTOLLI,Andrea,ITA,,,03.,10.,2008,N Ridge - C Peak - W Ridge
LOCK,Andrew,AUS,,,02.,10.,2009,NE Face - Lower to Central traverse - E Ridge
WARD,Neil,UK,Wales,,02.,10.,2009,NE Face - Lower to Central traverse - E Ridge
BENEDETTI,Renzo,ITA,,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
BIBAS GURUNG,,NEP,Gurung,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
COMPAGNONI,Michele,ITA,,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
GARCÍA,María Isabel (Isa),E,Castilian (L),f,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
GIBERNAU,Jaume,E,Catalan,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
GYALZEN II,,NEP,Sherpa,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
IZAGUIRRE,Asier,E,Basque (G),,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
KAMI III,,NEP,Sherpa,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
KONDO,Kazuyoshi,JAP,,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
MADARIAGA,Juan Ramón (Juanra),E,Basque (B),,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
MINGMA THINDUK II,,NEP,Sherpa,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
ORVIZ,"Ignacio (Nacho), José",E,Asturian,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
PANZERI,Mario Luciano,ITA,,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
PASABAN,Edurne,E,Basque (G),f,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
PASANG NURU b,,NEP,Sherpa,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
PASANG TENDI a,,NEP,Sherpa,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
RODRIGO,Roberto,E,Basque (B),,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
SALAZAR,Jorge Antonio,MEX,,,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
TXIKON,Jon Alexander (Alex),E,Basque (B),,17.,05.,2010,NE Face - Lower to Central traverse - E Ridge
KIM,Chang-Ho,SK,,,14.,10.,2010,"SW Face, Central Couloir"

SEO,Sung-Ho,SK,,14.,10.,2010,"SW Face, Central Couloir",
STECK,Ulrich (Ueli),CH,,17.,04.,2011,"SW Face, Girone Corridor, Right Hand Couloir",disputed!
KIM,Mi-Gon,SK,,08.,10.,2011,"SW Face, Central Couloir",
SANU,,NEP,Sherpa,08.,10.,2011,"SW Face, Central Couloir",
CHHANG DAWA,,NEP,Sherpa,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
FıNDıK,Tunç,TUR,,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
GAVAN,Alexandru Costin (Alex),ROM,,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
HAUER,Rupert Arnold,A,Salzburg,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
LÄMMLE,Thomas,GER,,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
MINGMA THINDUK II,,NEP,Sherpa,30.,04.,2013,NE Face - Lower to Central traverse - E Ridge,
