,NAME,FIRST NAMES,TRIBE,NAT.,D,M,Y,ROUTE,CAUSE,*
48,IMAKYUREI,Nobuyuki,,JAP,?07.,07.,1984,South Spur (Rupal Face),,Avalanche ?,
49,KOGURE,Takashi,,JAP,?07.,07.,1984,South Spur (Rupal Face),,Avalanche ?,
50,KAMEDA,Hiromi,,JAP,08.,12.,1984,Diamir Face,,Fall,
51,KALMUS,Piotr,,POL,10.,07.,1985,,SE Pillar,Avalanche,
52,KIM,Kwang-Ho,,SK,23.,06.,1989,Diamir Face,,Fall,
53,BABA,Tetsuya,,JAP,18.,07.,1989,Rupal Face,,Lightning burns,
54,PARK,Chang-Gi,,SK,03.,07.,1990,Kinshofer Route,,Fall into crevasse,
55,NAKAJIMA,Osami,,JAP,18.,08.,1990,Schell Route (near summit),,Fall,
56,AHN,Chun-Moon,,SK,07.,07.,1993,Kinshofer Route,,Disappearance,
57,LÓPEZ,Antonio,Aragonese,E,24.,06.,1994,Kinshofer Route,,Edema + Fall,
58,PETCU,Ratvan,,ROM,20.,06.,1996,Kinshofer Route (at Camp III),,Avalanche,
59,STANA,Gabriel,,ROM,20.,06.,1996,Kinshofer Route (at Camp III),,Avalanche,
60,COLET,Joan,Catalan,E,30.,07.,1997,Kinshofer Route (desc. to Camp III),,Fall,x
61,OHMIYA,Hideki,,JAP,26.,07.,1998,Kinshofer Route,,Fall,
62,JUNG,Günter,,GER,01.,07.,2004,Kinshofer Route,,Fall,x
63,DELGADO,Juán Antonio,,VEN,18.,07.,2006,Kinshofer Route,,Disappearance,x
64,OZAWA,Naohiro,,JAP,28.,07.,2006,Kinshofer Route,,Disappearance,
65,UNTERKIRCHER,Karl,Tyrolean,ITA,15.,07.,2008,Rakhiot Face (new route attempt),,Fall into crevasse,
66,NEMATI,Saman,,IRN,17.,07.,2008,Kinshofer Route,,Disappearance,
67,KÖLBLINGER,Wolfgang,,A,10.,07.,2009,Kinshofer Route,,Disappearance,x
68,GO,Mi-Sun (Mi-Young),f,SK,11.,07.,2009,Kinshofer Route,,Fall,x
* = on descent,,,,,,,,,,,
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,,
